Vehicle;WaitTime;Direction;Lane;TimeStamp
truck;4.9;right;1;12:03:54
bike;4.2;right;1;12:03:56
bike;8.1;up;2;12:04:02
bus;12.2;up;1;12:04:02
truck;7.6;up;2;12:04:02
truck;5.3;up;2;12:04:03
bus;3.3;up;1;12:04:06
car;24.2;right;2;12:04:17
car;18.7;right;2;12:04:18
car;5.0;right;1;12:04:18
bus;18.5;right;2;12:04:18
bus;14.2;right;2;12:04:19
truck;13.0;right;2;12:04:20
bus;8.5;right;2;12:04:24
truck;9.4;right;2;12:04:26
bike;44.4;left;1;12:04:32
truck;45.5;left;2;12:04:32
bus;35.8;left;1;12:04:33
car;31.0;left;2;12:04:33
bike;25.5;left;1;12:04:34
bus;22.5;left;2;12:04:34
bus;23.9;left;1;12:04:34
truck;14.2;left;2;12:04:34
bus;8.8;left;2;12:04:35
car;7.6;left;2;12:04:36
car;6.6;left;1;12:04:37
bike;56.5;down;1;12:04:47
bike;46.4;down;2;12:04:47
bike;41.7;down;2;12:04:48
truck;52.0;down;1;12:04:48
car;13.7;down;2;12:04:48
bike;44.5;down;1;12:04:49
car;10.2;down;2;12:04:49
truck;40.0;down;1;12:04:49
bus;32.6;down;1;12:04:50
bike;32.4;down;1;12:04:51
car;29.9;down;1;12:04:51
car;29.5;down;1;12:04:52
bus;28.1;down;1;12:04:52
bus;19.8;down;1;12:04:53
bike;16.6;down;1;12:04:54
bike;15.1;down;1;12:04:55
car;13.5;down;1;12:04:55
car;13.1;down;1;12:04:56
bike;11.8;down;1;12:04:56
car;27.1;left;2;12:05:02
truck;18.9;left;1;12:05:02
car;26.6;left;2;12:05:03
car;14.6;left;1;12:05:03
car;17.9;left;2;12:05:03
bike;10.2;left;1;12:05:04
bike;7.7;left;1;12:05:04
bike;8.6;left;2;12:05:06
car;9.9;left;2;12:05:09
car;9.0;left;1;12:05:09
car;9.5;left;1;12:05:11
car;65.4;up;1;12:05:18
car;58.4;up;2;12:05:18
bike;63.9;up;1;12:05:18
car;54.8;up;2;12:05:18
car;38.0;up;1;12:05:18
bus;51.6;up;2;12:05:19
truck;32.8;up;1;12:05:19
bus;47.3;up;2;12:05:20
bus;14.8;up;2;12:05:21
bus;14.6;up;2;12:05:21
truck;6.7;up;1;12:05:22
bus;7.4;up;1;12:05:23
bus;9.1;up;2;12:05:27
truck;63.3;right;1;12:05:33
truck;67.4;right;2;12:05:33
car;41.7;right;1;12:05:33
bike;62.0;right;2;12:05:33
car;46.3;right;2;12:05:34
car;29.2;right;1;12:05:34
bike;43.9;right;2;12:05:34
car;25.8;right;1;12:05:35
bus;40.4;right;2;12:05:35
bike;9.3;right;1;12:05:35
bus;35.1;right;2;12:05:36
car;32.9;right;2;12:05:37
truck;26.5;right;2;12:05:37
truck;9.9;right;1;12:05:38
bike;15.1;right;2;12:05:38
car;35.9;down;2;12:05:48
bus;58.2;down;1;12:05:48
bus;26.4;down;2;12:05:48
bus;56.0;down;1;12:05:49
bike;19.2;down;2;12:05:49
bike;53.8;down;1;12:05:49
bus;15.6;down;2;12:05:50
car;47.2;down;1;12:05:50
truck;40.7;down;1;12:05:51
car;10.4;down;2;12:05:51
bike;37.4;down;1;12:05:51
bus;32.9;down;1;12:05:52
car;28.6;down;1;12:05:53
car;26.2;down;1;12:05:53
car;6.7;down;2;12:05:56
