Num;AvgWait;DesvPad;TimeStamp
1;0.0;0;12:03:47
2;0.0;0;12:03:48
2;0.0;0;12:03:49
2;0.0;0;12:03:50
2;0.0;0;12:03:51
2;0.1;0;12:03:52
2;0.6;0;12:03:53
2;1.1;0;12:03:54
2;1.6;0;12:03:55
2;2.2;0;12:03:56
3;1.8;3.7788218685148403;12:03:57
3;2.1;4.497275930019673;12:03:58
3;2.5;5.227065470725207;12:03:59
3;2.8;5.957015675217265;12:04:00
3;3.2;6.687062648873504;12:04:01
4;2.6;7.41714991491692;12:04:02
4;3.1;7.522522768165552;12:04:03
4;3.6;7.522522768165552;12:04:04
4;4.1;7.522522768165552;12:04:05
4;4.7;7.522522768165552;12:04:06
4;5.2;7.522522768165552;12:04:07
5;4.6;8.468867821276405;12:04:08
5;5.0;8.940949568187758;12:04:09
6;4.5;8.9118201432606;12:04:11
7;4.1;9.436445211712911;12:04:12
7;4.5;9.821721354370752;12:04:13
7;5.0;10.107517953975247;12:04:14
7;5.4;10.41156695625739;12:04:15
7;5.9;10.700087347613152;12:04:16
7;6.5;10.700087347613152;12:04:17
7;7.0;10.700087347613152;12:04:18
7;7.6;10.700087347613152;12:04:19
7;8.2;10.700087347613152;12:04:20
8;7.7;10.700087347613152;12:04:21
8;8.2;10.700087347613152;12:04:22
8;8.7;10.700087347613152;12:04:23
8;9.3;10.700087347613152;12:04:24
8;9.8;10.700087347613152;12:04:25
8;10.3;10.700087347613152;12:04:26
9;9.6;10.700087347613152;12:04:27
9;10.1;10.700087347613152;12:04:28
10;9.5;10.700087347613152;12:04:29
10;9.9;10.700087347613152;12:04:30
11;9.4;14.781621733144899;12:04:31
10;0.0;0.008686623661691468;12:04:32
7;0.0;0.0;12:04:33
4;0.0;0;12:04:34
2;0.0;0;12:04:35
2;0.0;0;12:04:36
2;0.0;0;12:04:37
2;0.0;0;12:04:38
2;0.0;0;12:04:39
2;0.0;0;12:04:41
2;0.0;0;12:04:42
2;0.0;0;12:04:43
3;0.0;0;12:04:44
3;0.0;0;12:04:45
4;0.0;0;12:04:46
4;0.0;0;12:04:47
4;0.0;0;12:04:48
5;0.0;0.0;12:04:49
5;0.0;0.0;12:04:50
5;0.0;0.0;12:04:51
5;0.0;0.0;12:04:52
5;0.1;0.4366592208366308;12:04:53
6;0.3;0.9519133150712561;12:04:54
6;0.4;1.5512668262360518;12:04:55
6;0.7;2.035765816452006;12:04:56
7;0.9;2.236048544922795;12:04:57
8;1.0;2.7366987203524396;12:04:58
9;1.2;3.277380188091159;12:04:59
10;1.3;3.5571580365966406;12:05:00
10;1.6;3.941899004580482;12:05:01
11;1.7;4.199991480696697;12:05:02
7;0.0;0.0;12:05:03
5;0.0;0.0;12:05:04
4;0.0;0.0;12:05:05
3;0.0;0.0;12:05:06
3;0.0;0.0;12:05:07
4;0.0;0.0;12:05:08
2;0.0;0.0;12:05:09
2;0.0;0.0;12:05:11
1;0.0;0;12:05:12
1;0.0;0;12:05:13
2;0.0;0;12:05:14
2;0.0;0;12:05:15
2;0.0;0;12:05:16
2;0.0;0;12:05:17
3;0.0;0.0;12:05:18
3;0.0;0.0;12:05:19
3;0.0;0.0;12:05:20
4;0.2;0.4377336282988705;12:05:21
4;0.4;1.157730938808778;12:05:22
4;0.7;1.884358117176843;12:05:23
4;0.9;2.618446636430489;12:05:24
4;1.2;3.3406704806535297;12:05:25
5;1.2;4.075779965165503;12:05:26
5;1.4;4.806743717070551;12:05:27
5;1.6;5.52570876696673;12:05:28
5;1.8;6.258987392379391;12:05:29
5;2.1;6.459677366584138;12:05:30
6;2.1;6.459677366584138;12:05:31
6;2.5;6.459677366584138;12:05:32
7;2.4;6.662343032151139;12:05:33
7;2.7;7.1107494259793995;12:05:34
7;3.0;7.585450216892397;12:05:35
8;2.9;8.06397895798564;12:05:36
8;3.1;8.562508315833771;12:05:37
8;3.4;9.075509798763592;12:05:38
9;3.3;9.241724938812848;12:05:39
9;3.5;9.786184132277457;12:05:40
9;3.7;10.32946470217045;12:05:41
9;3.9;10.883485142406942;12:05:43
9;4.2;11.31666003929168;12:05:44
9;4.6;11.612000888607271;12:05:45
10;4.4;11.445059343327769;12:05:46
10;4.7;11.850808955963572;12:05:47
10;5.0;12.267339558018154;12:05:48
11;4.9;12.582395256330994;12:05:49
11;5.3;12.811033151248784;12:05:50
11;5.7;13.055016429529381;12:05:51
11;6.0;13.308789914167177;12:05:52
12;5.9;13.438077384996364;12:05:53
12;6.2;13.81311291758631;12:05:54
12;6.6;14.192741518966555;12:05:55
12;6.9;14.59317205221922;12:05:56
12;7.3;14.997273026431522;12:05:57
12;7.7;15.323817994952371;12:05:58
12;8.1;15.534339838151281;12:05:59
12;8.5;15.754510511728698;12:06:00
12;9.0;15.985544773317686;12:06:01
12;9.4;16.225483976490192;12:06:02
