Num;AvgWait;LastGreen;TimeStamp
0;0;0.1;21:26:27
0;0;1.1;21:26:28
0;0;2.3;21:26:29
1;0.0;3.5;21:26:30
1;0.0;4.6;21:26:31
1;0.0;5.8;21:26:32
2;0.4;7.0;21:26:34
2;1.0;8.2;21:26:35
3;1.0;9.3;21:26:36
3;1.4;10.5;21:26:37
3;1.8;11.7;21:26:38
3;2.2;12.9;21:26:40
3;2.6;14.1;21:26:41
3;3.0;15.2;21:26:42
4;2.8;16.4;21:26:43
4;3.4;17.6;21:26:44
4;4.0;18.8;21:26:46
4;4.6;20.1;21:26:47
4;5.3;21.3;21:26:48
4;5.8;22.4;21:26:49
5;5.1;23.5;21:26:50
6;4.6;24.7;21:26:51
6;5.1;26.0;21:26:53
6;5.5;27.1;21:26:54
6;5.9;28.4;21:26:55
6;6.3;29.6;21:26:56
4;10.0;30.8;21:26:58
3;14.1;31.8;21:26:59
1;44.5;33.0;21:27:00
1;46.8;34.2;21:27:01
1;49.2;35.3;21:27:02
1;51.5;36.5;21:27:03
1;53.6;37.6;21:27:04
2;27.9;38.6;21:27:05
3;19.6;39.6;21:27:06
3;20.7;0.4;21:27:07
3;21.9;1.5;21:27:09
4;17.3;2.7;21:27:10
5;14.6;3.9;21:27:11
5;15.6;5.1;21:27:12
5;16.5;6.3;21:27:13
5;17.5;7.5;21:27:15
5;18.5;8.7;21:27:16
5;19.4;9.9;21:27:17
5;20.4;11.1;21:27:18
6;17.8;12.3;21:27:19
6;18.6;13.4;21:27:21
6;19.3;14.5;21:27:22
6;20.0;15.6;21:27:23
8;15.7;16.8;21:27:24
