Num;AvgWait;DesvPad;TimeStamp
0;0;0;12:03:47
0;0;0;12:03:48
0;0;0;12:03:49
1;0.0;0;12:03:50
1;0.0;0;12:03:51
1;0.0;0;12:03:52
1;0.8;0;12:03:53
2;0.9;0;12:03:54
3;0.9;0;12:03:55
3;1.3;0;12:03:56
3;1.6;0;12:03:57
4;1.5;0;12:03:58
4;1.7;0;12:03:59
4;2.0;0;12:04:00
4;2.3;0;12:04:01
2;0.0;0;12:04:02
1;0.0;0;12:04:03
1;0.0;0;12:04:04
1;0.0;0;12:04:05
0;0;0;12:04:06
0;0;0;12:04:07
0;0;0;12:04:08
0;0;0;12:04:09
0;0;0;12:04:10
0;0;0;12:04:12
1;0.0;0;12:04:13
1;0.0;0;12:04:14
2;0.0;0.0;12:04:15
2;0.1;0.18805131444808912;12:04:16
2;0.7;0.9188031519988243;12:04:17
2;1.5;1.2008906603830858;12:04:18
2;2.6;1.2008906603830858;12:04:19
3;2.4;1.2008906603830858;12:04:20
3;3.1;1.2008906603830858;12:04:21
3;3.8;1.2008906603830858;12:04:22
3;4.5;1.2008906603830858;12:04:23
4;3.9;1.2008906603830858;12:04:24
4;4.4;1.2008906603830858;12:04:25
4;4.9;1.2008906603830858;12:04:26
4;5.4;1.2008906603830858;12:04:27
5;4.7;1.2008906603830858;12:04:28
5;5.2;1.2008906603830858;12:04:29
5;5.6;1.2008906603830858;12:04:30
5;6.0;1.2008906603830858;12:04:31
5;6.4;1.2008906603830858;12:04:32
6;5.7;1.2008906603830858;12:04:33
6;6.0;1.2008906603830858;12:04:34
6;6.4;1.2008906603830858;12:04:35
6;6.7;1.2008906603830858;12:04:36
6;7.1;1.2008906603830858;12:04:37
6;7.4;1.2008906603830858;12:04:38
6;7.8;1.2008906603830858;12:04:39
7;6.9;1.2008906603830858;12:04:40
7;7.2;14.647064392302003;12:04:42
7;7.5;15.243277363968236;12:04:43
7;7.8;15.836498395902494;12:04:44
7;8.3;15.913788074847561;12:04:45
7;8.7;15.913788074847561;12:04:46
8;8.0;16.79918806421197;12:04:47
8;8.4;17.137298357465678;12:04:48
8;8.8;17.478005112508626;12:04:49
8;9.2;17.832863852006778;12:04:50
8;9.6;18.10971462130475;12:04:51
8;10.1;18.10971462130475;12:04:52
8;10.6;18.10971462130475;12:04:53
8;11.1;18.10971462130475;12:04:54
8;11.6;18.10971462130475;12:04:55
8;12.2;18.10971462130475;12:04:56
8;12.7;18.10971462130475;12:04:57
8;13.2;18.10971462130475;12:04:58
8;13.7;18.10971462130475;12:04:59
8;14.2;18.10971462130475;12:05:00
8;14.7;18.10971462130475;12:05:01
8;15.3;18.10971462130475;12:05:02
8;15.8;18.10971462130475;12:05:03
8;16.3;18.10971462130475;12:05:04
8;16.8;18.10971462130475;12:05:05
9;15.4;18.10971462130475;12:05:06
10;14.3;18.10971462130475;12:05:07
10;14.7;18.10971462130475;12:05:08
10;15.1;18.10971462130475;12:05:09
10;15.5;18.10971462130475;12:05:10
10;15.9;18.10971462130475;12:05:12
10;16.3;18.10971462130475;12:05:13
10;16.8;18.10971462130475;12:05:14
10;17.2;18.10971462130475;12:05:15
11;16.0;25.152698624694477;12:05:16
12;15.0;27.14450681764389;12:05:17
10;0.0;0.00760911727649188;12:05:18
8;0.0;0.0;12:05:19
5;0.0;0.0;12:05:20
4;0.0;0.0;12:05:21
3;0.0;0;12:05:22
3;0.0;0;12:05:23
2;0.0;0;12:05:24
2;0.0;0;12:05:25
2;0.0;0;12:05:26
2;0.0;0;12:05:27
1;0.0;0;12:05:28
2;0.0;0;12:05:29
2;0.0;0;12:05:30
2;0.0;0;12:05:31
3;0.0;0;12:05:32
3;0.0;0;12:05:33
3;0.0;0;12:05:34
4;0.0;0.0;12:05:35
4;0.0;0.0;12:05:36
5;0.0;0.0;12:05:37
6;0.0;0.0;12:05:38
6;0.0;0.0;12:05:39
6;0.0;0.13572033746575643;12:05:40
7;0.2;0.6241817474365234;12:05:41
7;0.3;1.136980414390564;12:05:43
7;0.5;1.6211286552156479;12:05:44
7;0.8;2.0461678396921723;12:05:45
7;1.1;2.475185259931105;12:05:46
7;1.6;2.7873923568337506;12:05:47
7;2.0;3.152125528537355;12:05:48
7;2.6;3.177506751238297;12:05:49
7;3.2;3.177506751238297;12:05:50
7;3.8;3.177506751238297;12:05:51
7;4.4;3.177506751238297;12:05:52
7;5.0;3.177506751238297;12:05:53
8;4.9;5.16238316888786;12:05:54
9;4.8;5.559880756294791;12:05:55
10;4.7;5.972201467448896;12:05:56
11;4.7;7.111231880716041;12:05:57
11;5.1;7.62159050409219;12:05:58
12;5.0;8.126635698178061;12:05:59
12;5.4;8.556456490671616;12:06:00
13;5.4;9.17610579004696;12:06:01
13;5.8;9.562297120609372;12:06:02
